date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:51:42	0/0	---M--	200	added ('OK')	text/plain	date:Thu,%2009%20Jul%202020%2011:45:14%20GMT	http://smp274.mysch.id/robots.txt		(from )
22:51:43	32750/32750	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Nov%202022%2015:51:36%20GMT	http://smp274.mysch.id/	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/smp274.mysch.id/index.html	(from )
22:51:45	108212/108212	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2026%20Sep%202018%2000:21:07%20GMT	https://storage.googleapis.com/s.mysch.id/picture/58777335WhatsAppImage2017-05-12at07.27.47.jpeg	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/picture/58777335WhatsAppImage2017-05-12at07.27.47.jpg	(from http://smp274.mysch.id/)
22:51:45	17457/17457	---MC-	200	added ('OK')	image/png	date:Wed,%2026%20Sep%202018%2000:22:26%20GMT	https://storage.googleapis.com/s.mysch.id/picture/logo.png	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/picture/logo.png	(from http://smp274.mysch.id/)
22:51:47	36722/36722	---M--	200	added ('OK')	text/css	etag:%22bbf9385ce63296bd7d52da2a1ab566bc%22	https://storage.googleapis.com/s.mysch.id/themes/academy/style.css	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/style.css	(from http://smp274.mysch.id/)
22:51:48	2418/2418	---M--	200	added ('OK')	text/css	etag:%22b1027bd5e24f2af9152379ac4cd62801%22	https://storage.googleapis.com/s.mysch.id/themes/academy/default/style.css	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/default/style.css	(from http://smp274.mysch.id/)
22:51:50	31000/31000	---M--	200	added ('OK')	text/css	etag:%22269550530cc127b6aa5a35925a7de6ce%22	https://storage.googleapis.com/s.mysch.id/themes/academy/default/font-awesome.min.css	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/default/font-awesome.min.css	(from http://smp274.mysch.id/)
22:51:50	5222/5222	---M--	200	added ('OK')	text/css	etag:%22edf78b080b220a78a2e9e68ce274a60d%22	https://storage.googleapis.com/s.mysch.id/themes/academy/default/datatables/dataTables.bootstrap4.min.css	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/default/datatables/dataTables.bootstrap4.min.css	(from http://smp274.mysch.id/)
22:51:52	85582/85582	---M--	200	added ('OK')	application/x-javascript	etag:%22710458dd559c957714ac4a8e95357eb5%22	https://storage.googleapis.com/s.mysch.id/themes/academy/js/jquery/jquery-2.2.4.min.js	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/js/jquery/jquery-2.2.4.min.js	(from http://smp274.mysch.id/)
22:51:54	19484/19484	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Nov%202022%2015:51:47%20GMT	http://smp274.mysch.id/galeri	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/smp274.mysch.id/galeri.html	(from http://smp274.mysch.id/)
22:51:54	21425/21425	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2026%20Sep%202018%2000:21:34%20GMT	https://storage.googleapis.com/s.mysch.id/picture/65099232logosmp2742.jpg	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/picture/65099232logosmp2742.jpg	(from http://smp274.mysch.id/)
22:51:55	16662/16662	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Nov%202022%2015:51:48%20GMT	http://smp274.mysch.id/kontak	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/smp274.mysch.id/kontak.html	(from http://smp274.mysch.id/)
22:51:56	92518/92518	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2026%20Sep%202018%2000:19:44%20GMT	https://storage.googleapis.com/s.mysch.id/picture/39128786WhatsAppImage2017-05-24at08.05.23.jpeg	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/picture/39128786WhatsAppImage2017-05-24at08.05.23.jpg	(from http://smp274.mysch.id/)
22:51:58	187549/187549	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2026%20Sep%202018%2000:22:19%20GMT	https://storage.googleapis.com/s.mysch.id/picture/75507138Nasigoreng.jpg	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/picture/75507138Nasigoreng.jpg	(from http://smp274.mysch.id/)
22:51:59	195029/195029	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2026%20Sep%202018%2000:18:37%20GMT	https://storage.googleapis.com/s.mysch.id/picture/23004202GurukuNarsis.jpg	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/picture/23004202GurukuNarsis.jpg	(from http://smp274.mysch.id/)
22:52:00	19774/19774	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2026%20Sep%202018%2000:17:46%20GMT	https://storage.googleapis.com/s.mysch.id/picture/11143016pakmitra.jpg	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/picture/11143016pakmitra.jpg	(from http://smp274.mysch.id/)
22:52:00	94442/94442	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Apr%202021%2004:18:36%20GMT	https://mysch.id/cms_baru/upload/image/a1.jpg	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/mysch.id/cms_baru/upload/image/a1.jpg	(from http://smp274.mysch.id/)
22:52:00	43405/43405	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Apr%202021%2004:18:36%20GMT	https://mysch.id/cms_baru/upload/image/a2.jpg	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/mysch.id/cms_baru/upload/image/a2.jpg	(from http://smp274.mysch.id/)
